;asertividad;autoconciencia emocional;autoestima;desarrollar y estimular a los demás;empatía;autocontrol emocional;influencia;liderazgo;optimismo;relación social;colaboración y cooperación;comprensión organizativa;conciencia crítica;desarrollo de las relaciones;tolerancia a la frustración;comunicacion asertiva;manejo de conflictos;motivación de logro;percepción y comprensión emocional;violencia
aplast;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.000;0.000;0.000;0.262
aplaud;0.000;0.000;0.166;0.195;0.195;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
aplaz;0.000;0.000;0.000;0.000;0.000;0.000;0.179;0.213;0.000;0.000;0.141;0.170;0.163;0.000;0.000;0.000;0.152;0.000;0.000;0.000
apoy;0.000;0.000;0.166;0.000;0.195;0.000;0.000;0.213;0.000;0.187;0.141;0.000;0.000;0.177;0.000;0.000;0.000;0.211;0.157;0.000
apreci;0.000;0.000;0.166;0.000;0.000;0.000;0.000;0.000;0.155;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
apreciand;0.000;0.000;0.166;0.000;0.195;0.000;0.000;0.000;0.155;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.152;0.000;0.157;0.000
aprens;0.115;0.000;0.166;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
aprob;0.000;0.000;0.000;0.195;0.000;0.000;0.179;0.000;0.155;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.211;0.000;0.000
aprueb;0.000;0.000;0.000;0.195;0.195;0.000;0.179;0.213;0.155;0.000;0.141;0.170;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
arrastr;0.115;0.150;0.166;0.000;0.000;0.149;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.177;0.000;0.131;0.000;0.000;0.157;0.000
arregl;0.000;0.000;0.166;0.000;0.000;0.000;0.000;0.000;0.155;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.157;0.000
arrepent;0.000;0.000;0.166;0.000;0.195;0.000;0.000;0.000;0.000;0.187;0.000;0.000;0.000;0.177;0.000;0.000;0.152;0.000;0.000;0.000
arrest;0.115;0.000;0.000;0.195;0.000;0.000;0.179;0.213;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.152;0.000;0.000;0.262
arrincon;0.000;0.150;0.166;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.000;0.000;0.000;0.000
arrog;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.213;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.000;0.000;0.262
arruin;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
arruinand;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
asco;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
asegur;0.000;0.000;0.000;0.195;0.000;0.000;0.000;0.000;0.000;0.000;0.141;0.000;0.000;0.177;0.137;0.131;0.000;0.211;0.000;0.000
asesin;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
asesinat;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
asfixi;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.262
